Variable,YEAR,SEMESTRE,Clase,Total
AREAC_SNIES,2012,2,Bellas artes,236
AREAC_SNIES,2012,2,Ciencias de la educación,15
AREAC_SNIES,2012,2,Ciencias de la salud,493
AREAC_SNIES,2012,2,Ciencias sociales y humanas,1109
AREAC_SNIES,2012,2,"Economía, administración, contaduría y afines",394
AREAC_SNIES,2012,2,"Ingeniería, arquitectura, urbanismo y afines",1671
AREAC_SNIES,2012,2,Matemáticas y ciencias naturales,777
AREAC_SNIES,2013,1,"Agronomía, veterinaria y afines",117
AREAC_SNIES,2013,1,Bellas artes,179
AREAC_SNIES,2013,1,Ciencias de la educación,2
AREAC_SNIES,2013,1,Ciencias de la salud,314
AREAC_SNIES,2013,1,Ciencias sociales y humanas,501
AREAC_SNIES,2013,1,"Economía, administración, contaduría y afines",287
AREAC_SNIES,2013,1,"Ingeniería, arquitectura, urbanismo y afines",1440
AREAC_SNIES,2013,1,Matemáticas y ciencias naturales,339
AREAC_SNIES,2013,2,"Agronomía, veterinaria y afines",151
AREAC_SNIES,2013,2,Bellas artes,181
AREAC_SNIES,2013,2,Ciencias de la educación,20
AREAC_SNIES,2013,2,Ciencias de la salud,491
AREAC_SNIES,2013,2,Ciencias sociales y humanas,909
AREAC_SNIES,2013,2,"Economía, administración, contaduría y afines",431
AREAC_SNIES,2013,2,"Ingeniería, arquitectura, urbanismo y afines",1649
AREAC_SNIES,2013,2,Matemáticas y ciencias naturales,567
AREAC_SNIES,2014,1,"Agronomía, veterinaria y afines",175
AREAC_SNIES,2014,1,Bellas artes,263
AREAC_SNIES,2014,1,Ciencias de la educación,18
AREAC_SNIES,2014,1,Ciencias de la salud,300
AREAC_SNIES,2014,1,Ciencias sociales y humanas,971
AREAC_SNIES,2014,1,"Economía, administración, contaduría y afines",362
AREAC_SNIES,2014,1,"Ingeniería, arquitectura, urbanismo y afines",1544
AREAC_SNIES,2014,1,Matemáticas y ciencias naturales,552
AREAC_SNIES,2014,2,"Agronomía, veterinaria y afines",167
AREAC_SNIES,2014,2,Bellas artes,214
AREAC_SNIES,2014,2,Ciencias de la educación,8
AREAC_SNIES,2014,2,Ciencias de la salud,516
AREAC_SNIES,2014,2,Ciencias sociales y humanas,917
AREAC_SNIES,2014,2,"Economía, administración, contaduría y afines",372
AREAC_SNIES,2014,2,"Ingeniería, arquitectura, urbanismo y afines",1572
AREAC_SNIES,2014,2,Matemáticas y ciencias naturales,586
AREAC_SNIES,2015,1,"Agronomía, veterinaria y afines",161
AREAC_SNIES,2015,1,Bellas artes,240
AREAC_SNIES,2015,1,Ciencias de la educación,26
AREAC_SNIES,2015,1,Ciencias de la salud,374
AREAC_SNIES,2015,1,Ciencias sociales y humanas,900
AREAC_SNIES,2015,1,"Economía, administración, contaduría y afines",398
AREAC_SNIES,2015,1,"Ingeniería, arquitectura, urbanismo y afines",1664
AREAC_SNIES,2015,1,Matemáticas y ciencias naturales,505
AREAC_SNIES,2015,2,"Agronomía, veterinaria y afines",182
AREAC_SNIES,2015,2,Bellas artes,234
AREAC_SNIES,2015,2,Ciencias de la educación,15
AREAC_SNIES,2015,2,Ciencias de la salud,569
AREAC_SNIES,2015,2,Ciencias sociales y humanas,897
AREAC_SNIES,2015,2,"Economía, administración, contaduría y afines",375
AREAC_SNIES,2015,2,"Ingeniería, arquitectura, urbanismo y afines",1792
AREAC_SNIES,2015,2,Matemáticas y ciencias naturales,567
AREAC_SNIES,2016,1,"Agronomía, veterinaria y afines",114
AREAC_SNIES,2016,1,Bellas artes,268
AREAC_SNIES,2016,1,Ciencias de la educación,13
AREAC_SNIES,2016,1,Ciencias de la salud,311
AREAC_SNIES,2016,1,Ciencias sociales y humanas,993
AREAC_SNIES,2016,1,"Economía, administración, contaduría y afines",511
AREAC_SNIES,2016,1,"Ingeniería, arquitectura, urbanismo y afines",1960
AREAC_SNIES,2016,1,Matemáticas y ciencias naturales,536
AREAC_SNIES,2016,2,"Agronomía, veterinaria y afines",148
AREAC_SNIES,2016,2,Bellas artes,234
AREAC_SNIES,2016,2,Ciencias de la educación,44
AREAC_SNIES,2016,2,Ciencias de la salud,417
AREAC_SNIES,2016,2,Ciencias sociales y humanas,946
AREAC_SNIES,2016,2,"Economía, administración, contaduría y afines",488
AREAC_SNIES,2016,2,"Ingeniería, arquitectura, urbanismo y afines",1847
AREAC_SNIES,2016,2,Matemáticas y ciencias naturales,578
AREAC_SNIES,2017,1,"Agronomía, veterinaria y afines",157
AREAC_SNIES,2017,1,Bellas artes,258
AREAC_SNIES,2017,1,Ciencias de la educación,23
AREAC_SNIES,2017,1,Ciencias de la salud,558
AREAC_SNIES,2017,1,Ciencias sociales y humanas,1131
AREAC_SNIES,2017,1,"Economía, administración, contaduría y afines",554
AREAC_SNIES,2017,1,"Ingeniería, arquitectura, urbanismo y afines",1974
AREAC_SNIES,2017,1,Matemáticas y ciencias naturales,627
AREAC_SNIES,2017,2,"Agronomía, veterinaria y afines",161
AREAC_SNIES,2017,2,Bellas artes,221
AREAC_SNIES,2017,2,Ciencias de la educación,22
AREAC_SNIES,2017,2,Ciencias de la salud,385
AREAC_SNIES,2017,2,Ciencias sociales y humanas,883
AREAC_SNIES,2017,2,"Economía, administración, contaduría y afines",507
AREAC_SNIES,2017,2,"Ingeniería, arquitectura, urbanismo y afines",1971
AREAC_SNIES,2017,2,Matemáticas y ciencias naturales,649
AREAC_SNIES,2018,1,"Agronomía, veterinaria y afines",124
AREAC_SNIES,2018,1,Bellas artes,291
AREAC_SNIES,2018,1,Ciencias de la educación,13
AREAC_SNIES,2018,1,Ciencias de la salud,487
AREAC_SNIES,2018,1,Ciencias sociales y humanas,1158
AREAC_SNIES,2018,1,"Economía, administración, contaduría y afines",473
AREAC_SNIES,2018,1,"Ingeniería, arquitectura, urbanismo y afines",1997
AREAC_SNIES,2018,1,Matemáticas y ciencias naturales,581
AREAC_SNIES,2018,2,"Agronomía, veterinaria y afines",180
AREAC_SNIES,2018,2,Bellas artes,216
AREAC_SNIES,2018,2,Ciencias de la educación,19
AREAC_SNIES,2018,2,Ciencias de la salud,409
AREAC_SNIES,2018,2,Ciencias sociales y humanas,1011
AREAC_SNIES,2018,2,"Economía, administración, contaduría y afines",492
AREAC_SNIES,2018,2,"Ingeniería, arquitectura, urbanismo y afines",1979
AREAC_SNIES,2018,2,Matemáticas y ciencias naturales,796
AREAC_SNIES,2019,1,"Agronomía, veterinaria y afines",142
AREAC_SNIES,2019,1,Bellas artes,101
AREAC_SNIES,2019,1,Ciencias de la educación,10
AREAC_SNIES,2019,1,Ciencias de la salud,326
AREAC_SNIES,2019,1,Ciencias sociales y humanas,796
AREAC_SNIES,2019,1,"Economía, administración, contaduría y afines",167
AREAC_SNIES,2019,1,"Ingeniería, arquitectura, urbanismo y afines",851
AREAC_SNIES,2019,1,Matemáticas y ciencias naturales,297
AREAC_SNIES,2019,2,"Agronomía, veterinaria y afines",201
AREAC_SNIES,2019,2,Bellas artes,380
AREAC_SNIES,2019,2,Ciencias de la educación,10
AREAC_SNIES,2019,2,Ciencias de la salud,524
AREAC_SNIES,2019,2,Ciencias sociales y humanas,1405
AREAC_SNIES,2019,2,"Economía, administración, contaduría y afines",718
AREAC_SNIES,2019,2,"Ingeniería, arquitectura, urbanismo y afines",2818
AREAC_SNIES,2019,2,Matemáticas y ciencias naturales,940
AREAC_SNIES,2020,1,"Agronomía, veterinaria y afines",133
AREAC_SNIES,2020,1,Bellas artes,303
AREAC_SNIES,2020,1,Ciencias de la educación,18
AREAC_SNIES,2020,1,Ciencias de la salud,556
AREAC_SNIES,2020,1,Ciencias sociales y humanas,1002
AREAC_SNIES,2020,1,"Economía, administración, contaduría y afines",414
AREAC_SNIES,2020,1,"Ingeniería, arquitectura, urbanismo y afines",1952
AREAC_SNIES,2020,1,Matemáticas y ciencias naturales,548
AREAC_SNIES,2020,2,"Agronomía, veterinaria y afines",98
AREAC_SNIES,2020,2,Bellas artes,196
AREAC_SNIES,2020,2,Ciencias de la educación,12
AREAC_SNIES,2020,2,Ciencias de la salud,197
AREAC_SNIES,2020,2,Ciencias sociales y humanas,787
AREAC_SNIES,2020,2,"Economía, administración, contaduría y afines",411
AREAC_SNIES,2020,2,"Ingeniería, arquitectura, urbanismo y afines",1505
AREAC_SNIES,2020,2,Matemáticas y ciencias naturales,607
TOTAL,2009,1,Total,4956
TOTAL,2009,2,Total,3108
TOTAL,2010,1,Total,5273
TOTAL,2010,2,Total,3362
TOTAL,2011,1,Total,4349
TOTAL,2011,2,Total,3317
TOTAL,2012,1,Total,3273
TOTAL,2012,2,Total,4861
TOTAL,2013,1,Total,3179
TOTAL,2013,2,Total,4399
TOTAL,2014,1,Total,4185
TOTAL,2014,2,Total,4352
TOTAL,2015,1,Total,4268
TOTAL,2015,2,Total,4631
TOTAL,2016,1,Total,4706
TOTAL,2016,2,Total,4702
TOTAL,2017,1,Total,5282
TOTAL,2017,2,Total,4799
TOTAL,2018,1,Total,5124
TOTAL,2018,2,Total,5102
TOTAL,2019,1,Total,2690
TOTAL,2019,2,Total,6996
TOTAL,2020,1,Total,4926
TOTAL,2020,2,Total,3813

