Variable,YEAR,SEMESTRE,Clase,Total
NIVEL,2019,2,Pregrado,4601
NIVEL,2020,1,Doctorado,125
NIVEL,2020,1,Especialidades médicas,130
NIVEL,2020,1,Especialización,839
NIVEL,2020,1,Maestría,869
NIVEL,2020,1,Pregrado,2963
NIVEL,2020,2,Doctorado,141
NIVEL,2020,2,Especialidades médicas,23
NIVEL,2020,2,Especialización,786
NIVEL,2020,2,Maestría,857
NIVEL,2020,2,Pregrado,2006
SEDE_NOMBRE_ADM,2009,1,Amazonía,1
SEDE_NOMBRE_ADM,2009,1,Bogotá,3323
SEDE_NOMBRE_ADM,2009,1,Caribe,0
SEDE_NOMBRE_ADM,2009,1,La Paz,0
SEDE_NOMBRE_ADM,2009,1,Manizales,468
SEDE_NOMBRE_ADM,2009,1,Medellín,981
SEDE_NOMBRE_ADM,2009,1,Orinoquía,0
SEDE_NOMBRE_ADM,2009,1,Palmira,183
SEDE_NOMBRE_ADM,2009,1,Tumaco,0
SEDE_NOMBRE_ADM,2009,2,Amazonía,5
SEDE_NOMBRE_ADM,2009,2,Bogotá,2042
SEDE_NOMBRE_ADM,2009,2,Caribe,0
SEDE_NOMBRE_ADM,2009,2,La Paz,0
SEDE_NOMBRE_ADM,2009,2,Manizales,447
SEDE_NOMBRE_ADM,2009,2,Medellín,412
SEDE_NOMBRE_ADM,2009,2,Orinoquía,0
SEDE_NOMBRE_ADM,2009,2,Palmira,202
SEDE_NOMBRE_ADM,2009,2,Tumaco,0
SEDE_NOMBRE_ADM,2010,1,Amazonía,7
SEDE_NOMBRE_ADM,2010,1,Bogotá,3441
SEDE_NOMBRE_ADM,2010,1,Caribe,0
SEDE_NOMBRE_ADM,2010,1,La Paz,0
SEDE_NOMBRE_ADM,2010,1,Manizales,485
SEDE_NOMBRE_ADM,2010,1,Medellín,1153
SEDE_NOMBRE_ADM,2010,1,Orinoquía,0
SEDE_NOMBRE_ADM,2010,1,Palmira,187
SEDE_NOMBRE_ADM,2010,1,Tumaco,0
SEDE_NOMBRE_ADM,2010,2,Amazonía,8
SEDE_NOMBRE_ADM,2010,2,Bogotá,1924
SEDE_NOMBRE_ADM,2010,2,Caribe,0
SEDE_NOMBRE_ADM,2010,2,La Paz,0
SEDE_NOMBRE_ADM,2010,2,Manizales,452
SEDE_NOMBRE_ADM,2010,2,Medellín,814
SEDE_NOMBRE_ADM,2010,2,Orinoquía,0
SEDE_NOMBRE_ADM,2010,2,Palmira,164
SEDE_NOMBRE_ADM,2010,2,Tumaco,0
SEDE_NOMBRE_ADM,2011,1,Amazonía,10
SEDE_NOMBRE_ADM,2011,1,Bogotá,2850
SEDE_NOMBRE_ADM,2011,1,Caribe,11
SEDE_NOMBRE_ADM,2011,1,La Paz,0
SEDE_NOMBRE_ADM,2011,1,Manizales,427
SEDE_NOMBRE_ADM,2011,1,Medellín,867
SEDE_NOMBRE_ADM,2011,1,Orinoquía,0
SEDE_NOMBRE_ADM,2011,1,Palmira,184
SEDE_NOMBRE_ADM,2011,1,Tumaco,0
SEDE_NOMBRE_ADM,2011,2,Amazonía,12
SEDE_NOMBRE_ADM,2011,2,Bogotá,2382
SEDE_NOMBRE_ADM,2011,2,Caribe,1
SEDE_NOMBRE_ADM,2011,2,La Paz,0
SEDE_NOMBRE_ADM,2011,2,Manizales,460
SEDE_NOMBRE_ADM,2011,2,Medellín,365
SEDE_NOMBRE_ADM,2011,2,Orinoquía,0
SEDE_NOMBRE_ADM,2011,2,Palmira,97
SEDE_NOMBRE_ADM,2011,2,Tumaco,0
SEDE_NOMBRE_ADM,2012,1,Amazonía,3
SEDE_NOMBRE_ADM,2012,1,Bogotá,1931
SEDE_NOMBRE_ADM,2012,1,Caribe,0
SEDE_NOMBRE_ADM,2012,1,La Paz,0
SEDE_NOMBRE_ADM,2012,1,Manizales,399
SEDE_NOMBRE_ADM,2012,1,Medellín,839
SEDE_NOMBRE_ADM,2012,1,Orinoquía,0
SEDE_NOMBRE_ADM,2012,1,Palmira,101
SEDE_NOMBRE_ADM,2012,1,Tumaco,0
SEDE_NOMBRE_ADM,2012,2,Amazonía,3
SEDE_NOMBRE_ADM,2012,2,Bogotá,3158
SEDE_NOMBRE_ADM,2012,2,Caribe,1
SEDE_NOMBRE_ADM,2012,2,La Paz,0
SEDE_NOMBRE_ADM,2012,2,Manizales,463
SEDE_NOMBRE_ADM,2012,2,Medellín,1065
SEDE_NOMBRE_ADM,2012,2,Orinoquía,0
SEDE_NOMBRE_ADM,2012,2,Palmira,171
SEDE_NOMBRE_ADM,2012,2,Tumaco,0
SEDE_NOMBRE_ADM,2013,1,Amazonía,4
SEDE_NOMBRE_ADM,2013,1,Bogotá,1780
SEDE_NOMBRE_ADM,2013,1,Caribe,0
SEDE_NOMBRE_ADM,2013,1,La Paz,0
SEDE_NOMBRE_ADM,2013,1,Manizales,395
SEDE_NOMBRE_ADM,2013,1,Medellín,839
SEDE_NOMBRE_ADM,2013,1,Orinoquía,0
SEDE_NOMBRE_ADM,2013,1,Palmira,161
SEDE_NOMBRE_ADM,2013,1,Tumaco,0
SEDE_NOMBRE_ADM,2013,2,Amazonía,11
SEDE_NOMBRE_ADM,2013,2,Bogotá,2764
SEDE_NOMBRE_ADM,2013,2,Caribe,5
SEDE_NOMBRE_ADM,2013,2,La Paz,0
SEDE_NOMBRE_ADM,2013,2,Manizales,498
SEDE_NOMBRE_ADM,2013,2,Medellín,925
SEDE_NOMBRE_ADM,2013,2,Orinoquía,0
SEDE_NOMBRE_ADM,2013,2,Palmira,196
SEDE_NOMBRE_ADM,2013,2,Tumaco,0
SEDE_NOMBRE_ADM,2014,1,Amazonía,5
